"编号","开始答题时间","结束答题时间","答题时长","1.您在过去一年中绝大部分时间（指在9个月以上）居住在？","2.您现在有工作吗？","3.您的年龄是？","4.您的常住地在？","5.您有多少个孩子？","6.您一般每天会在家务劳动（如：买菜做饭、做卫生、照顾孩子等）上花费多少个小时？","7.除了睡觉时间外，您每天的闲暇时间（即没有事情做的时间）有多少个小时？","8.您现在希望拥有工作吗?","9.您想参加工作的主要原因是什么？:增加家庭收入，改善家庭经济条件","9.您想参加工作的主要原因是什么？:结识更多的人，拓宽社交圈子","9.您想参加工作的主要原因是什么？:获得社会认可，实现个人价值","9.您想参加工作的主要原因是什么？:学习新的技能，充实自身 ","9.您想参加工作的主要原因是什么？:响应政策鼓励，如政府扶持的乡村振兴项目或技能培训计划等","9.您想参加工作的主要原因是什么？:其他（请注明：____{fillblank-e7a9}）","9.您想参加工作的主要原因是什么？:其他（请注明：____{fillblank-e7a9}）[选项填空]","10.您不想参加工作的主要原因是什么？:需要全职照顾孩子/老人","10.您不想参加工作的主要原因是什么？:身体健康条件不允许","10.您不想参加工作的主要原因是什么？:认为自己作为女性不该外出工作","10.您不想参加工作的主要原因是什么？:周边没有适合的工作机会","10.您不想参加工作的主要原因是什么？:现有技能达不到工作要求","10.您不想参加工作的主要原因是什么？:家庭收入已经满足生活需求，无需再参与工作","10.您不想参加工作的主要原因是什么？:其他（请注明：____{fillblank-9dd1}）","10.您不想参加工作的主要原因是什么？:其他（请注明：____{fillblank-9dd1}）[选项填空]","11.您希望它是全职还是兼职工作？","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:稳定且可预期的收入","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:享受完整的员工福利（社保、医保、休假等）","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:更清晰的职业发展和晋升机会","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:深入参与工作，获得全面经验","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:看重工作稳定性和安全感","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:建立团队归属感","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:便于个人生活和财务规划","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:满足事业心和成就感","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:承担更重要的职责","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明：____{fillblank-832e}）","12.（多选，最多选3项）请问您为什么希望这份工作是全职？:其他（请注明：____{fillblank-832e}）[选项填空]","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:追求工作与生活平衡","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:需要时间照顾家庭（育儿、养老等）","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:需要时间学习或深造","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:看重工作时间和地点的灵活性","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:同时从事多份工作或发展副业","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:减轻工作压力，保持身心健康","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:作为进入新行业或重返职场的过渡","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:已有其他主要收入来源","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:探索工作多样性或兴趣","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:避免职业倦怠，保持热情","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:身体状况/精力限制","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:增加收入但不愿承担全职责任","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明：____{fillblank-a8c1}）","13.（多选，最多选3项）请问您为什么希望这份工作是兼职？:其他（请注明：____{fillblank-a8c1}）[选项填空]","14.您希望它是线上的还是线下的？","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:节省通勤时间和成本","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:工作时间和地点更灵活自由","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:能更好地平衡工作和生活/家庭","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:可以跨地域工作（不受居住地限制）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:工作环境更舒适自在（如在家）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:减少外界干扰，更能专注任务","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:更便于安排个人事务（如看病、接送等）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:个人偏好（习惯/喜欢线上工作模式）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:其他（请注明：____{fillblank-e269}）","15.（多选，最多选3项）请问您为什么希望这份工作是线上的？:其他（请注明：____{fillblank-e269}）[选项填空]","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:促进面对面沟通和团队协作","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:建立更紧密的同事关系和归属感","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:工作内容或性质需要特定场所/设备（如实验室、机器、门店）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:清晰分隔工作与生活空间","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:需要现场指导或管理","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:减少在家工作的干扰（如孩子、家务等）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:享受公司提供的办公环境和资源","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:个人偏好（习惯/喜欢线下工作氛围）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:工作性质要求必须线下完成（如制造、医护、服务等）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:其他（请注明：____{fillblank-2202}）","16.（多选，最多选3项）请问您为什么希望这份工作是线下的？:其他（请注明：____{fillblank-2202}）[选项填空]","17.您最希望每周工作多少天？","18.您最希望每天工作多少个小时？","19.您最希望这份工作每个月的收入有多少元？","20.您觉得这份工作中的社会保险（如基本养老保险、基本医疗保险、失业保险、工伤保险和生育保险）重要吗？","21.您觉得这份工作中，签订劳动合同重要吗？","22.您的学历是？","23.您以前有参加过工作吗？","24.您的累计工作年限（即参加工作的年数）一共多少年？","25.阅读以下工作内容，选择最符合您的实际情况的选项","26.阅读以下工作内容，选择最符合您的实际情况的选项","27.阅读以下工作内容，选择最符合您的实际情况的选项","28.阅读以下工作内容，选择最符合您的实际情况的选项","29.阅读以下工作内容，选择最符合您的实际情况的选项","30.本题请选择3分的选项","31.阅读以下工作内容，选择最符合您的实际情况的选项","32.阅读以下工作内容，选择最符合您的实际情况的选项","33.阅读以下工作内容，选择最符合您的实际情况的选项","34.您会使用手机、电脑等来上网吗？","35.当您在网上搜索信息（如新闻、知识、解决方案）时，您评估信息来源可靠性和信息真实性的能力如何？","36.您使用在线工具或软件（如文档协作、项目管理、在线会议、专业软件/APP）与他人合作完成工作或学习任务的熟练程度如何？","37.您在互联网上创作和分享原创内容（如撰写博客/公众号/帖子、制作发布图片/视频、编写代码、设计作品等）的经验和能力如何？","38.您对保护个人隐私信息和防范网络安全风险（如诈骗、病毒、钓鱼链接）的意识和采取的措施如何？","39.当您在使用数字设备或网络服务遇到技术问题（如软件无法使用、网络连接故障、设备设置问题）时，您通常如何解决？","40.您懂用电脑或手机做什么工作？:进行修图、视频剪辑的工作","40.您懂用电脑或手机做什么工作？:在手机上销售自家商品（如农产品、手工品）","40.您懂用电脑或手机做什么工作？:通过直播介绍商品","40.您懂用电脑或手机做什么工作？:用手机记录数据（如大棚温度、农村路况）","40.您懂用电脑或手机做什么工作？:通过手机视频教别人手工、烹饪等技能","40.您懂用电脑或手机做什么工作？:进行语言类标注工作（如字幕制作、方言翻译等）","40.您懂用电脑或手机做什么工作？:做在线客服工作","40.您懂用电脑或手机做什么工作？:其他（请填写：____{fillblank-58e0}）","40.您懂用电脑或手机做什么工作？:其他（请填写：____{fillblank-58e0}）[选项填空]","41.以下软件中，您会使用哪些？:手机文件管理器","41.以下软件中，您会使用哪些？:PowerPoint（PPT）","41.以下软件中，您会使用哪些？:Word","41.以下软件中，您会使用哪些？:Excel","41.以下软件中，您会使用哪些？:WPS","41.以下软件中，您会使用哪些？:PS/美图秀秀/醒图等","41.以下软件中，您会使用哪些？:Pr/剪映/必剪等","41.以下软件中，您会使用哪些？:抖音/快手","41.以下软件中，您会使用哪些？:淘宝/京东/拼多多","41.以下软件中，您会使用哪些？:支付宝","41.以下软件中，您会使用哪些？:腾讯会议","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"252","26-Aug-2025 19:12:08","26-Aug-2025 19:21:08","540","2","3","44","4","3","5","15","1","1","","1","","","","","","","","","","","","","1","1","","","1","","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","1","1","","","","6","8","	6000","2","2","4","1","12","2","2","2","1","2","4","1","7","6","1","3","2","3","2","2","","1","","","","","","","","","","","","","","","1","1","1","","简体中文","未清洗","","中国","湖南省","怀化市","","120.228.182.182","mozilla/5.0 (linux; android 13;huawei mate 40  harmonyos;   oce-an00 build/huaweioce-an00; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/92.0.4515.105 mobile safari/537.36 qukan qapp_android qapp_version_32043000 qukan_android qukan_versio","",
"251","26-Aug-2025 19:10:24","26-Aug-2025 19:20:25","601","2","3","35","2","2","7","11","1","","","","1","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","1","","","","","","","","","","5","8","	5000","1","1","5","1","7","3","1","1","2","3","4","2","5","3","1","3","4","3","2","4","1","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","简体中文","未清洗","","中国","黑龙江省","双鸭山市","","60.218.232.177","Mozilla/5.0 (Linux; U; Android 14; zh-cn; 22011211C Build/UP1A.231005.007) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/19.2 Mobile Safari/537.36 COVC/048301","",
"250","26-Aug-2025 18:55:00","26-Aug-2025 19:08:13","793","2","3","32","1","2","7","10","1","","","","1","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","1","","","","","","","","","6","8","	4500","2","1","5","1","3","5","7","1","2","4","4","2","7","6","1","4","4","3","3","3","1","","","","","","1","","","","1","1","1","","","","1","1","1","1","简体中文","未清洗","","中国","贵州省","遵义市","","1.205.131.90","mozilla/5.0 (linux; u; android 13;iQOO 10 pro zh-cn; v2254a build/tp1a.220624.014) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/100.0.4896.58 quark/6.1.3.240 mobile safari/537.36","",
"249","26-Aug-2025 18:54:48","26-Aug-2025 19:07:15","747","2","3","36","3","3","9","12","1","","1","1","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","1","","","","","","6","9","	5000","2","2","5","1","5","3","2","1","1","2","4","1","5","3","1","2","2","2","2","3","","","","","","","1","","","","","","","","","","1","1","1","","简体中文","未清洗","","中国","云南省","丽江市","","183.225.230.37","mozilla/5.0 (linux; android 12;huaweimate 50 E  harmonyos; CET-AL60; hmscore 6.10.0.312) applewebkit/537.36 (khtml, like gecko) chrome/99.0.4844.88 huaweibrowser/13.0.4.321 mobile safari/537.36","",
"248","26-Aug-2025 18:55:26","26-Aug-2025 19:06:08","642","2","3","40","4","3","5","12","1","1","","","","","","","","","","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","1","1","","","","6","9","	5000","2","2","4","1","9","1","3","2","1","3","4","1","6","3","1","3","2","2","1","2","","","1","","","","","","","","","","","","","","1","1","1","","简体中文","未清洗","","中国","宁夏回族自治区","银川市","","111.113.135.87","mozilla/5.0 (linux; u; android 13;iQOO 10 zh-cn; v2254a build/tp1a.220624.014) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/100.0.4896.58 quark/6.1.3.240 mobile safari/537.36","",
"247","26-Aug-2025 18:43:18","26-Aug-2025 18:48:18","300","2","3","27","5","1","2","15","1","","","1","1","","","","","","","","","","","","1","","","1","","1","","","1","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","1","1","","","","5","9","	7000","2","1","6","1","2","5","7","5","6","5","4","1","5","5","1","4","5","3","4","4","1","","","","","1","","","","1","1","1","1","1","1","1","1","1","1","1","简体中文","未清洗","","中国","陕西省","西安市","","117.35.172.228","mozilla/5.0 (linux; android 12;huaweimate 50 E  harmonyos; CET-AL60; hmscore 6.10.0.312) applewebkit/537.36 (khtml, like gecko) chrome/99.0.4844.88 huaweibrowser/13.0.4.321 mobile safari/537.36","",
"246","26-Aug-2025 18:28:08","26-Aug-2025 18:40:36","748","2","3","45","4","4","7","8","1","1","","1","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","1","","","","","","","","","","6","9","	6000","2","1","3","1","10","1","2","1","1","2","4","1","5","2","1","2","2","2","2","2","","","1","","","","","","","","","","","","","","1","1","1","","简体中文","未清洗","","中国","四川省","成都市","","171.213.218.157","Mozilla/5.0 (Windows; U; Windows NT 5.2; zh-CN) AppleWebKit/605.1.15 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36 UCBrowser/18.0.0.2702  AliApp(TUnionSDK/0.1.20.4)","",
"245","26-Aug-2025 18:27:15","26-Aug-2025 18:38:55","700","2","3","35","3","2","8","10","2","","","","","","","","1","","","1","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","1","","","","1","1","","","","","","","","","","","","","","5","6","	3500","2","2","5","1","7","4","6","1","1","2","4","2","6","3","1","3","4","3","3","2","1","","","","","","","","","","","","","","1","1","1","1","1","1","简体中文","未清洗","","中国","广东省","清远市","","120.239.193.212","Mozilla/5.0 (Linux; Android 12; HarmonyOS; ALN-AL80; HMSCore 6.15.0.322) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.196 HuaweiBrowser/16.0.7.301 Mobile Safari/537.36","",
"244","26-Aug-2025 18:27:40","26-Aug-2025 18:35:05","445","2","3","48","3","4","6","10","2","","","","","","","","","1","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","1","","","2","","","","","","","","","","","","","","","","","","1","","","","5","6","	3000","2","3","2","2","0","1","2","1","1","2","4","1","1","1","1","1","2","1","1","1","","","1","","","","","","","","","","","","","","1","","","","简体中文","未清洗","","中国","重庆市","重庆市","","123.146.45.52","Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1","",
"243","26-Aug-2025 18:16:16","26-Aug-2025 18:25:11","535","2","3","43","1","2","4","15","1","","1","1","","","","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","1","1","","","","5","8","	5500","1","1","4","1","10","3","3","3","1","3","4","4","6","3","1","1","2","3","3","2","","","","","1","","","","","","","","","","","","1","","1","","简体中文","未清洗","","中国","海南省","儋州市","","111.29.87.83","mozilla/5.0 (linux; android 13;vivo X 70  /V2133A; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/87.0.4280.141 mobile safari/537.36 vivobrowser/14.5.0.0","",
"242","26-Aug-2025 18:14:38","26-Aug-2025 18:25:09","631","2","3","39","2","4","6","12","1","1","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","1","","","","","","","6","8","	4500","2","1","4","1","9","2","2","1","1","3","4","1","7","2","1","2","2","2","2","3","","1","1","","","","","","","","","","","","","","","1","1","","简体中文","未清洗","","中国","广西壮族自治区","柳州市","","113.13.110.74","mozilla/5.0 (linux; android 13; huaweinova 7 pro  harmonyos; JER-AN10; hmscore 6.10.0.312) applewebkit/537.36 (khtml, like gecko) chrome/99.0.4844.88 huaweibrowser/13.0.4.321 mobile safari/537.36","",
"241","26-Aug-2025 17:59:53","26-Aug-2025 18:11:38","705","2","3","46","4","4","4","15","1","1","","1","","","","","","","","","","","","","1","","","","","1","","1","1","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","1","","","","","","","","","6","10","	6000","2","1","3","1","11","1","2","3","1","3","4","1","1","2","1","2","2","1","1","1","","","1","","","","","","","","","","","","","","1","1","1","","简体中文","未清洗","","中国","湖南省","娄底市","","42.49.47.215","mozilla/5.0 (linux; u; android 13; oneplus 11 zh-cn; v2254a build/tp1a.220624.014) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/100.0.4896.58 quark/6.1.3.240 mobile safari/537.36","",
"240","26-Aug-2025 17:58:48","26-Aug-2025 18:10:27","699","2","3","41","3","3","5","12","1","","","","1","","","","","","","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","1","","","","","","5","9","	5000","2","2","3","2","0","1","3","1","1","2","4","1","1","1","1","3","2","3","1","2","","","1","","","","","","","","","","","","","","1","1","","","简体中文","未清洗","","中国","湖北省","荆州市","","183.94.83.233","mozilla/5.0 (linux; android 13;huawei Pura70Pro+ harmonyos; BAL-AL80; hmscore 6.11.0.332) applewebkit/537.36 (khtml, like gecko) chrome/99.0.4844.88 huaweibrowser/14.0.0.323 mobile safari/537.36","",
"239","26-Aug-2025 17:58:41","26-Aug-2025 18:09:19","638","2","3","30","1","2","8","7","2","","","","","","","","1","","","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","1","1","","1","1","","","","","","","","","","","","","","","","","","4","5","	3000","4","3","6","1","4","5","1","1","1","3","4","1","5","5","1","4","4","3","3","4","","","","","","","1","","","","1","1","","","","","1","1","1","1","简体中文","未清洗","","中国","河南省","驻马店市","","39.148.33.41","mozilla/5.0 (linux; android 13;vivoX60 Pro  /V2056A; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/87.0.4280.141 mobile safari/537.36 vivobrowser/14.5.0.0","",
"238","26-Aug-2025 17:51:55","26-Aug-2025 17:55:59","244","2","3","49","4","3","7","9","1","1","","1","","","","","","","","","","","","","1","1","","","","","","","1","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","1","","","","","6","9","	6000","2","2","3","1","13","1","2","1","1","3","4","1","1","2","1","2","2","1","2","2","","","","","1","","","","","","","","","","","","1","1","1","","简体中文","未清洗","","中国","江西省","景德镇市","","117.178.57.0","Mozilla/5.0 (Linux; Android 13; Galaxy A54 5G Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 Grab/12.3.4 (Android; en-MY; MY)","",
"237","26-Aug-2025 17:39:30","26-Aug-2025 17:49:24","594","2","3","42","2","3","4","14","1","1","","","","","","","","","","","","","","","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","1","","","","","","5","8","	5500","1","2","4","1","12","1","1","1","1","2","4","1","4","4","1","2","2","2","2","2","","","","1","","","","","","","","","","","","","1","1","1","","简体中文","未清洗","","中国","福建省","莆田市","","140.237.46.173","Mozilla/5.0 (iPhone;iPhone 16 ; CPU iPhone OS 18_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.40(0x18002831) NetType/4G Language/zh_CN","",
"236","26-Aug-2025 17:39:23","26-Aug-2025 17:49:03","580","2","3","37","3","2","4","16","1","","","1","1","1","","","","","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","1","","","","7","10","	7000","2","2","4","1","11","1","4","1","1","4","4","1","5","5","1","3","3","2","3","3","","","1","","","","","","","","","1","1","","1","1","1","1","1","","简体中文","未清洗","","中国","安徽省","蚌埠市","","112.132.80.175","Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1","",
"235","26-Aug-2025 17:36:29","26-Aug-2025 17:40:33","244","2","3","39","3","3","4","6","1","","1","1","1","","","","","","","","","","","","1","1","","","","1","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","1","","","","1","","","","5","9","	6000","2","2","5","1","6","5","5","5","4","3","4","5","6","5","1","4","3","3","4","3","1","","","1","","1","","","","1","1","1","1","","","1","1","1","1","1","简体中文","未清洗","","中国","四川省","泸州市","","125.65.139.17","Mozilla/5.0 (Linux; Android 14; Motorola Edge+ Build/RRFS31.Q1-59-76-2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.159 Mobile Safari/537.36 EdgW/1.0","",
"234","26-Aug-2025 17:34:20","26-Aug-2025 17:37:04","164","2","3","31","3","2","6","4","2","","","","","","","","","1","","","1","1","","","2","","","","","","","","","","","","","","","1","1","1","","","","","","","","","1","","","","1","1","1","","","","","","","","","","","","","","","","5","8","	4000","3","2","5","1","7","6","5","5","4","5","4","4","6","5","1","3","4","3","4","3","1","","","1","1","1","","","","1","1","1","1","","1","1","1","1","1","1","简体中文","未清洗","","中国","内蒙古自治区","呼和浩特市","","1.30.188.156","mozilla/5.0 (linux; android 13; huaweinova nova9 pro  harmonyos; RTE-AL00; hmscore 6.10.0.312) applewebkit/537.36 (khtml, like gecko) chrome/99.0.4844.88 huaweibrowser/13.0.4.321 mobile safari/537.36","",
"233","26-Aug-2025 17:20:33","26-Aug-2025 17:35:07","874","2","3","31","1","2","6","8","1","","1","1","","1","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","1","1","","","","5","8","	5000","2","2","5","2","0","2","3","5","1","2","4","2","5","5","1","3","4","3","3","4","","","1","","","1","","","","","1","1","1","","","","1","","1","1","简体中文","未清洗","","中国","上海市","上海市","","117.135.125.2","Mozilla/5.0 (iPhone;iPhone 13 CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.40(0x18002831) NetType/4G Language/zh_CN","",
"232","26-Aug-2025 17:20:32","26-Aug-2025 17:33:19","767","2","3","38","3","3","4","10","1","1","","","","","","","","","","","","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","","1","","","","","","","","6","10","	4800","1","1","4","1","8","2","2","2","1","2","4","1","4","4","1","2","2","2","2","2","1","","","","","","1","","","","","","1","","","1","1","1","1","1","简体中文","未清洗","","中国","江苏省","连云港市","","106.111.110.144","mozilla/5.0 (linux; u; android 13;iQOO Z6 zh-cn; V2220A build/tp1a.220624.014) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/100.0.4896.58 quark/6.1.3.240 mobile safari/537.36","",
"231","26-Aug-2025 17:20:36","26-Aug-2025 17:31:56","680","2","3","48","4","3","4","15","2","","","","","","","","","1","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","1","1","","","","","","","","","","","","","","","","","","","5","4","	3000","3","2","3","1","14","1","3","1","1","2","4","1","4","4","1","2","2","2","3","1","","","","","1","","","","","","","","","","","","1","1","1","","简体中文","未清洗","","中国","浙江省","绍兴市","","115.224.112.87","Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 SP-engine/3.50.0 main/1.0 baiduboxapp/15.25.0.10 (Baidu; P2 15.6.1)","",
"230","26-Aug-2025 17:22:48","26-Aug-2025 17:27:29","281","2","3","47","3","3","3","5","1","1","1","","1","","","","","","","","","","","","1","1","","","","1","1","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","1","1","","","","","","5","9","	3300","3","3","3","2","0","3","3","4","3","3","4","5","3","3","1","2","2","3","3","2","1","","","1","","","","","","1","","","","","1","1","1","1","1","","简体中文","未清洗","","中国","云南省","大理白族自治州","","39.128.59.76","mozilla/5.0 (linux; u; android 13;iQOO U5 zh-cn; V2165A build/tp1a.220624.014) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/100.0.4896.58 quark/6.1.3.240 mobile safari/537.36","",
"229","26-Aug-2025 17:21:57","26-Aug-2025 17:25:01","184","2","3","40","3","3","4","7","1","1","1","","1","","","","","","","","","","","","1","","","","1","1","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","1","1","","","","6","10","	4800","3","2","4","1","7","3","3","4","4","3","4","5","4","3","1","2","2","3","3","3","","","","1","","","","","","1","","","","","1","","1","1","1","","简体中文","未清洗","","中国","广西壮族自治区","玉林市","","117.181.38.71","Mozilla/5.0 (Linux; U; Android13; zh-cn;RedmiK 40 M2012K11AC Build/TP1A.220624.014) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.127 Mobile Safari/537.36 XiaoMi/MiuiBrowser/17.6.280522 swan-mibrowser","",
"228","26-Aug-2025 17:15:17","26-Aug-2025 17:19:36","259","2","3","36","1","3","4","6","1","1","1","","1","","","","","","","","","","","","1","1","","1","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","1","","","","","1","","","","","5","9","	5500","2","2","5","1","10","4","4","4","3","3","4","5","5","4","1","3","3","3","4","3","1","","","1","","","","","","1","1","1","","","1","1","1","1","1","","简体中文","未清洗","","中国","福建省","南平市","","117.27.223.98","Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1","",
"227","26-Aug-2025 17:02:11","26-Aug-2025 17:18:16","965","2","3","36","1","2","5","13","1","1","","1","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","1","","1","","","5","9","	5500","2","1","7","1","5","6","7","7","7","7","4","4","7","7","1","5","5","4","5","4","1","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","简体中文","未清洗","","中国","山西省","长治市","","60.220.134.221","Mozilla/5.0 (iPhone;iPhone 14 proMax; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.40(0x18002831) NetType/4G Language/zh_CN","",
"226","26-Aug-2025 17:06:08","26-Aug-2025 17:16:38","630","2","3","40","4","3","7","12","1","1","","","","","","","","","","","","","","","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","","1","","","","","","","","6","9","	6000","2","2","4","1","9","3","4","5","4","3","4","3","7","5","1","3","4","3","2","3","","","","","","","1","","","","","1","1","","1","1","1","1","1","1","简体中文","未清洗","","中国","吉林省","通化市","","222.160.143.218","mozilla/5.0 (linux; android 13;huawei mate 30pro harmonyos;    LIO-AN00 build/huaweiLIO-AN00; wv) applewebkit/537.36 (khtml, like gecko) version/4.0 chrome/92.0.4515.105 mobile safari/537.36 qukan qapp_android qapp_version_32043000 qukan_android qukan_ver","",
